order_id,client_id,product_type,box_size,quantity,delivery_date,order_date,material_bom
PO-2022-0000,Godrej Consumer,small_std,small,9281,2023-11-15,2023-10-17,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0001,Hindustan Unilever,medium_std,medium,54211,2022-09-27,2022-08-17,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0002,Nestle India,small_std,small,9621,2022-02-17,2022-02-02,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0003,Britannia,medium_std,medium,49895,2023-08-26,2023-07-29,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0004,Dabur India,medium_printed,medium,24570,2023-04-29,2023-04-05,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0005,Parle Products,small_printed,small,42725,2024-01-12,2023-12-16,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0006,Hindustan Unilever,small_std,small,16737,2023-01-16,2022-12-11,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0007,Dabur India,medium_printed,medium,34774,2023-01-31,2022-12-19,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0008,Britannia,small_std,small,66285,2023-07-23,2023-07-04,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0009,ITC Foods,large_std,large,57124,2023-08-15,2023-07-20,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0010,Nestle India,small_std,small,11810,2024-01-24,2023-12-23,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0011,Britannia,medium_std,medium,64387,2022-04-23,2022-03-23,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0012,Parle Products,large_premium,large,64180,2023-05-17,2023-04-10,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0013,Hindustan Unilever,medium_std,medium,77368,2023-01-23,2022-12-30,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0014,Marico,large_premium,large,19856,2023-08-08,2023-07-01,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0015,Nestle India,large_premium,large,76426,2022-11-07,2022-10-04,"{""M04"": 0.55, ""M05"": 0.38, ""M07"": 0.022, ""M09"": 0.008, ""M10"": 0.008, ""M12"": 0.004, ""M14"": 0.12}"
PO-2022-0016,ITC Foods,medium_std,medium,53308,2022-04-07,2022-02-27,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0017,ITC Foods,small_std,small,28111,2022-10-29,2022-10-02,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0018,Marico,small_printed,small,56168,2023-11-26,2023-11-03,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0019,Godrej Consumer,medium_std,medium,22322,2022-11-09,2022-09-29,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0020,Parle Products,small_printed,small,28934,2023-10-05,2023-08-21,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0021,Parle Products,small_std,small,66102,2022-04-28,2022-04-04,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0022,Britannia,small_printed,small,80562,2024-01-05,2023-11-28,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0023,Dabur India,small_printed,small,42448,2023-09-24,2023-09-03,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0024,ITC Foods,medium_printed,medium,99330,2023-12-21,2023-11-30,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0025,Dabur India,small_printed,small,22762,2022-11-27,2022-10-28,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0026,Hindustan Unilever,medium_std,medium,37906,2023-06-30,2023-05-28,"{""M01"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M08"": 0.025, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0027,Parle Products,medium_printed,medium,68407,2023-11-23,2023-10-17,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0028,Dabur India,medium_printed,medium,62739,2022-07-19,2022-06-15,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0029,ITC Foods,small_std,small,11783,2023-06-18,2023-05-16,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0030,Hindustan Unilever,small_std,small,21911,2022-09-22,2022-09-03,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0031,Parle Products,small_std,small,68946,2023-06-04,2023-05-13,"{""M01"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M08"": 0.015, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0032,Parle Products,small_printed,small,123141,2023-12-07,2023-11-07,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
PO-2022-0033,Nestle India,medium_printed,medium,30122,2023-07-21,2023-06-25,"{""M02"": 0.32, ""M05"": 0.22, ""M06"": 0.014, ""M09"": 0.006, ""M10"": 0.006, ""M11"": 0.003, ""M13"": 0.08}"
PO-2022-0034,ITC Foods,large_std,large,27240,2024-02-12,2024-01-01,"{""M01"": 0.55, ""M05"": 0.38, ""M06"": 0.022, ""M08"": 0.04, ""M11"": 0.005, ""M14"": 0.12}"
PO-2022-0035,Nestle India,small_printed,small,11541,2023-07-02,2023-06-14,"{""M02"": 0.18, ""M05"": 0.12, ""M06"": 0.008, ""M09"": 0.003, ""M10"": 0.003, ""M11"": 0.002, ""M13"": 0.05}"
