date,material_id,transaction_type,quantity,unit,supplier_id,unit_price,po_number,unit_raw
2022-01-01,M08,issue,63.86,kg,,7382.83,,kg
2022-01-01,M01,issue,21.99,rolls,,13183.04,,rolls
2022-01-01,M02,return,54.35,rolls,,30618.76,,rolls
2022-01-01,M09,issue,76.63,kg,,28773.91,,kg
2022-01-01,M13,return,50.03,rolls,,31516.23,,rolls
2022-01-01,M08,issue,34.46,kg,,19137.39,,KG
2022-01-01,M06,issue,22.05,kg,,34463.72,,KG
2022-01-01,M08,issue,24.94,kg,,25799.55,,kg
2022-01-01,M05,return,21.98,rolls,,12272.42,,rolls
2022-01-01,M09,issue,63.97,kg,,19551.11,,kg
2022-01-01,M05,issue,20.68,rolls,,22873.1,,rolls
2022-01-01,M12,receipt,33.76,kg,SUP02,37299.32,PO-10629,kg
2022-01-01,M05,issue,31.08,rolls,,27612.22,,rolls
2022-01-01,M12,receipt,274.82,kg,SUP09,28961.01,PO-15241,kg
2022-01-01,M07,writeoff,98.4,kg,,29331.63,,kg
2022-01-01,M09,issue,52.88,kg,,43692.47,,KG
2022-01-01,M05,issue,6.87,rolls,,30926.96,,rolls
2022-01-01,M08,issue,91.54,kg,,31310.76,,kg
2022-01-01,M12,issue,31.47,kg,,7579.34,,kg
2022-01-01,M14,issue,67.31,rolls,,10609.3,,rolls
2022-01-02,M12,issue,81.27,kg,,37858.65,,kg
2022-01-02,M07,return,93.69,kg,,36800.18,,kg
2022-01-02,M07,return,4.44,kg,,15204.8,,kg
2022-01-02,M02,issue,51.8,rolls,,13645.72,,rolls
2022-01-02,M06,issue,40.45,kg,,33994.03,,kg
2022-01-02,M02,issue,76.29,rolls,,41684.11,,Rolls
2022-01-02,M01,issue,7.42,rolls,,43143.1,,rolls
2022-01-02,M14,issue,65.43,rolls,,32094.36,,rolls
2022-01-02,M04,receipt,140.07,rolls,SUP05,10873.2,PO-88110,rolls
2022-01-02,M14,issue,62.45,rolls,,824.0,,rolls
2022-01-02,M03,receipt,421.82,rolls,SUP01,27646.86,PO-98352,rolls
2022-01-02,M14,issue,78.7,rolls,,12451.58,,rolls
2022-01-02,M05,issue,63.58,rolls,,28114.18,,rolls
2022-01-02,M03,issue,1.7,rolls,,23598.15,,rolls
2022-01-02,M08,issue,7.7,kg,,40316.29,,kg
2022-01-02,M11,return,17.3,kg,,10328.24,,kilograms
2022-01-02,M14,issue,34.64,rolls,,15488.5,,rolls
2022-01-02,M12,issue,35.95,kg,,40589.32,,kg
2022-01-02,M11,receipt,351.19,kg,SUP06,30792.05,PO-49680,kg
2022-01-02,M02,issue,22.04,rolls,,42842.74,,rolls
2022-01-02,M12,return,21.03,kg,,13813.7,,kg
2022-01-02,M03,return,10.16,rolls,,31261.77,,rolls
2022-01-02,M10,issue,7.24,kg,,6646.12,,kg
2022-01-02,M09,issue,54.01,kg,,4344.55,,kg
2022-01-02,M10,return,67.7,kg,,35984.56,,kg
2022-01-03,M13,return,66.89,rolls,,41672.08,,rolls
2022-01-03,M02,return,47.07,rolls,,20981.72,,rolls
2022-01-03,M01,issue,77.16,rolls,,15719.77,,rolls
2022-01-03,M07,issue,36.09,kg,,34508.29,,kg
2022-01-03,M05,issue,13.31,rolls,,23413.88,,rolls
2022-01-03,M11,return,45.14,kg,,20803.12,,kg
2022-01-03,M03,issue,13.22,rolls,,11184.57,,rolls
2022-01-03,M01,issue,85.12,rolls,,41312.13,,rolls
2022-01-03,M05,issue,92.07,rolls,,40938.04,,rolls
2022-01-03,M06,issue,50.08,kg,,29622.85,,kg
2022-01-03,M06,issue,58.56,kg,,3855.61,,kg
2022-01-03,M07,writeoff,36.98,kg,,38214.75,,kg
2022-01-03,M08,issue,23.15,kg,,17173.95,,kg
